logLocation,logLevel,logStackTrace,exceptionType,exceptionCategory,exceptionSource,exceptionNum,exceptionMethodCall,exceptionMethodSource,exceptionMethodNum,catchInLoop,isLogInInnerLoop,isLogInInnerBranch,isLogInInnerTryBlock,throwInCatchBlock,returnInCatchBlock,throwInTryBlock,returnInTryBlock,numMethodCallsBeforeLogging,numMethodCallsAfterLogging,LOCBeforeLogging,LOCAfterLogging,numMethodCallsInTryBlock
JDBCLinkStore.java:163,debug,true,SQLException,NORMAL,FROMJDK,1,Connection.rollback,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
JDBCLinkStore.java:201,warn,false,IllegalStateException,RUNTIME,FROMJDK,1,JDBCLinkStore.cleanUp,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
JDBCLinkStore.java:325,debug,true,SQLException,NORMAL,FROMJDK,1,Connection.rollback,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
NonBlockingConnection.java:290,debug,true,MultiExceptions,MIXED,MIXED,2,MultiMethods,FROMPROJECT,3,false,false,false,false,false,false,false,false,1,4,2,11,17
NonBlockingConnection.java:295,info,false,MultiExceptions,MIXED,MIXED,2,MultiMethods,FROMPROJECT,3,false,false,false,false,false,false,false,false,2,2,7,6,17
NonBlockingConnection.java:407,info,false,IOException,NORMAL,FROMJDK,1,AbstractInterruptibleChannel.close,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,3
NonBlockingConnection.java:428,info,false,IOException,NORMAL,FROMJDK,1,NonBlockingConnection.doWrite,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
NonBlockingConnection.java:445,info,false,IOException,NORMAL,FROMJDK,1,SocketChannel.shutdownOutput,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
NonBlockingConnection.java:475,info,false,IOException,NORMAL,FROMJDK,1,SocketChannel.shutdownInput,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
NonBlockingNetworkTransport.java:117,warn,true,IOException,NORMAL,FROMJDK,1,AbstractInterruptibleChannel.close,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
NonBlockingNetworkTransport.java:185,debug,true,IOException,NORMAL,FROMJDK,1,AbstractInterruptibleChannel.close,FROMJDK,1,true,false,false,false,false,false,false,false,0,0,0,0,1
NonBlockingNetworkTransport.java:191,error,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,6,false,false,false,false,false,false,false,false,0,0,0,0,17
NonBlockingNetworkTransport.java:203,debug,true,IOException,NORMAL,FROMJDK,1,AbstractInterruptibleChannel.close,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
ConnectionVersionValidator.java:118,warn,false,PatternSyntaxException,RUNTIME,FROMJDK,1,String.matches,FROMJDK,1,true,false,true,false,false,false,false,true,2,0,2,1,1
NetworkFirewallRule.java:50,error,true,UnknownHostException,NORMAL,FROMJDK,1,InetNetwork.getFromString,FROMPROJECT,1,true,false,false,false,false,false,false,false,0,0,0,0,3
RollingPolicyDecorator.java:258,warn,true,IOException,NORMAL,FROMJDK,1,Files.walkFileTree,FROMJDK,1,false,false,false,false,false,false,false,true,0,0,0,0,11
AbstractLegacyAccessControlProvider.java:103,warn,true,RuntimeException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,true,false,true,false,false,false,1,0,3,5,2
SelectorThread.java:154,debug,true,MultiExceptions,MIXED,FROMJDK,2,AbstractSelectableChannel.register,FROMJDK,1,true,false,false,false,false,false,false,false,0,0,0,0,2
SelectorThread.java:192,error,true,ClosedChannelException,NORMAL,FROMJDK,1,AbstractSelectableChannel.register,FROMJDK,1,true,false,false,false,false,false,false,false,0,0,0,0,1
SelectorThread.java:197,info,true,CancelledKeyException,RUNTIME,FROMJDK,1,AbstractSelectableChannel.register,FROMJDK,1,true,false,false,false,false,false,false,false,0,0,0,0,1
SelectorThread.java:216,info,false,ClosedSelectorException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,true,false,false,false,false,false,false,false,0,0,0,0,2
SelectorThread.java:223,error,true,ClosedChannelException,NORMAL,FROMJDK,1,AbstractSelectableChannel.register,FROMJDK,1,true,false,false,false,false,false,false,false,0,0,0,0,2
SelectorThread.java:228,info,true,CancelledKeyException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,true,false,false,false,false,false,false,false,0,0,0,0,2
SelectorThread.java:323,error,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,2,true,false,false,false,false,true,false,false,0,1,1,2,3
SelectorThread.java:399,debug,true,IOException,NORMAL,FROMJDK,1,Selector.close,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,2
SelectorThread.java:450,error,true,MultiExceptions,MIXED,FROMJDK,2,AbstractSelectableChannel.register,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,1,0,6
SelectorThread.java:467,warn,false,InterruptedException,NORMAL,FROMJDK,1,Future.get,FROMJDK,1,false,false,false,false,false,false,false,false,0,2,0,1,1
SelectorThread.java:472,warn,false,ExecutionException,NORMAL,FROMJDK,1,Future.get,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
SelectorThread.java:476,warn,false,TimeoutException,NORMAL,FROMJDK,1,Future.get,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
SelectorThread.java:503,error,true,MultiExceptions,MIXED,FROMJDK,2,SelectableChannel.register,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,2
SelectorThread.java:666,debug,false,ClosedChannelException,NORMAL,FROMJDK,1,SelectorThread.unregisterConnection,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,1,1
SelectorThread.java:676,debug,true,MultiExceptions,RUNTIME,FROMJDK,2,SelectorThread.unregisterConnection,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,4,0,1
ClientJmsDelegate.java:609,error,true,JMSException,NORMAL,FROMLIBRARY,1,Session.unsubscribe,FROMLIBRARY,1,true,false,false,false,false,false,false,false,0,1,0,2,1
ClientJmsDelegate.java:624,error,true,JMSException,NORMAL,FROMLIBRARY,1,Connection.close,FROMLIBRARY,1,true,false,false,false,false,false,false,false,0,1,0,2,1
ClientJmsDelegate.java:728,warn,true,JMSException,NORMAL,FROMLIBRARY,1,MultiMethods,FROMLIBRARY,2,false,false,false,false,false,false,false,false,0,1,0,2,2
GenericJDBCMessageStore.java:188,warn,true,SQLException,NORMAL,FROMJDK,1,ConnectionProvider.close,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
DojoHelper.java:75,warn,true,IOException,NORMAL,FROMJDK,1,InputStream.close,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
DojoHelper.java:101,error,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,2,false,false,false,false,false,false,false,false,0,0,1,0,19
EndToEndConversionTestBase.java:279,debug,true,RuntimeException,RUNTIME,FROMJDK,1,LoggingOutputStream.LoggingOutputStream,FROMPROJECT,1,false,false,false,false,true,false,true,false,0,0,0,1,34
EndToEndConversionTestBase.java:284,error,true,Exception,NORMAL,FROMJDK,1,MultiMethods,MIXED,12,false,false,false,false,true,false,true,false,0,0,0,1,34
GZIPUtils.java:75,warn,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,3,false,false,false,false,false,false,false,true,0,0,0,0,11
GZIPUtils.java:114,warn,true,IOException,NORMAL,FROMJDK,1,FilterInputStream.read,FROMJDK,1,false,false,false,false,false,false,false,true,0,0,1,0,3
AmqpPortImpl.java:414,warn,false,IllegalArgumentException,RUNTIME,FROMJDK,1,Protocol.valueOf,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,2
HousekeepingExecutor.java:70,debug,false,CancellationException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,0,1,2
HttpManagement.java:917,warn,true,Exception,NORMAL,FROMJDK,1,AbstractLifeCycle.start,FROMLIBRARY,1,false,false,false,false,false,false,false,false,1,0,4,0,7
HttpManagement.java:961,warn,true,Exception,NORMAL,FROMJDK,1,AbstractLifeCycle.stop,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,0,0,0,1
AESKeyFileEncrypterFactory.java:100,error,false,NoSuchAlgorithmException,NORMAL,FROMJDK,1,Cipher.getMaxAllowedKeyLength,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,2,0,2
BDBHARemoteReplicationNodeImpl.java:164,warn,false,TimeoutException,NORMAL,FROMJDK,1,Future.get,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,8
GenericJDBCConfigurationStore.java:157,warn,true,SQLException,NORMAL,FROMJDK,1,ConnectionProvider.close,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
ConfiguredSettableInjectedAttribute.java:143,warn,true,MultiExceptions,NORMAL,FROMJDK,2,MultiMethods,FROMJDK,2,false,false,false,false,false,false,false,true,0,0,0,0,16
ConfiguredSettableInjectedAttribute.java:248,warn,true,MultiExceptions,NORMAL,FROMJDK,2,Method.invoke,FROMJDK,1,false,false,false,false,false,true,false,true,0,1,0,1,1
ConfiguredAutomatedAttribute.java:114,warn,true,MultiExceptions,NORMAL,FROMJDK,2,MultiMethods,FROMJDK,2,false,false,false,false,false,false,false,true,0,0,0,0,16
ConfiguredAutomatedAttribute.java:211,warn,true,MultiExceptions,NORMAL,FROMJDK,2,Method.invoke,FROMJDK,1,false,false,false,false,false,true,false,true,0,1,0,1,1
AbstractContainer.java:142,debug,false,MultiExceptions,NORMAL,FROMJDK,3,MultiMethods,FROMJDK,6,false,false,false,false,false,false,false,false,0,0,0,0,9
HostNameAliasImpl.java:164,error,true,MultiExceptions,NORMAL,FROMJDK,2,MultiMethods,MIXED,2,false,false,false,false,false,false,false,false,0,0,0,0,11
DatabasePinger.java:97,debug,true,RuntimeException,RUNTIME,FROMJDK,1,MultiMethods,FROMLIBRARY,2,false,false,false,false,false,false,false,false,1,0,1,0,12
OAuth2InteractiveAuthenticator.java:184,info,false,SecurityException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,true,false,false,false,false,false,0,4,2,7,5
OAuth2InteractiveAuthenticator.java:189,info,false,SecurityException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,true,false,false,false,false,false,3,1,7,2,5
PortHelper.java:166,debug,false,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,3,false,false,false,false,false,true,false,true,0,0,0,1,2
AbstractTestRunner.java:82,warn,true,MultiExceptions,NORMAL,FROMJDK,3,TrustedFuture.get,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,0,0,0,2
AbstractTestRunner.java:188,info,false,DistributedTestException,RUNTIME,FROMPROJECT,1,AbstractTestRunner.awaitLatch,FROMPROJECT,1,true,false,false,false,false,false,false,false,0,0,1,0,1
AbstractTestRunner.java:303,error,true,RuntimeException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,true,false,false,true,0,0,0,1,3
UpgradeFrom4To5.java:651,error,true,Exception,NORMAL,FROMJDK,1,MessageMetaDataBinding.readContentHeaderBody,FROMPROJECT,1,false,false,false,false,false,true,false,true,0,0,0,2,2
AbstractStandardVirtualHostNode.java:247,warn,true,Exception,NORMAL,FROMJDK,1,DurableConfigurationStore.closeConfigurationStore,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
ConfiguredObjectQuery.java:244,debug,true,RuntimeException,RUNTIME,FROMJDK,1,Expression.evaluate,FROMPROJECT,1,true,false,false,false,false,false,false,false,0,0,0,1,1
Slf4jLoggingHandler.java:95,warn,false,IllegalArgumentException,RUNTIME,FROMJDK,1,Level.parse,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,1,0,1
AMQPConnection_0_8Impl.java:262,error,true,MultiExceptions,NORMAL,MIXED,2,ServerDecoder.decodeBuffer,FROMPROJECT,1,false,false,false,false,true,false,false,false,0,0,0,1,2
AMQPConnection_0_8Impl.java:298,error,true,RuntimeException,RUNTIME,FROMJDK,1,AMQChannel.receivedComplete,FROMPROJECT,1,true,false,false,false,false,false,false,false,0,0,4,0,1
AMQPConnection_0_8Impl.java:360,debug,false,QpidException,NORMAL,FROMPROJECT,1,ProtocolInitiation.checkVersion,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,3,0,3,25
AMQPConnection_0_8Impl.java:498,error,true,RuntimeException,RUNTIME,FROMJDK,1,AMQChannel.close,FROMPROJECT,1,true,false,true,false,false,false,false,false,0,0,2,2,1
AMQPConnection_0_8Impl.java:690,error,true,MultiExceptions,RUNTIME,FROMPROJECT,2,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,0,0,5
AMQPConnection_0_8Impl.java:1051,error,true,Exception,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,0,0,6
QpidTestCase.java:117,warn,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,2,true,false,false,false,false,false,false,false,0,0,0,0,3
AbstractConfiguredObject.java:1012,error,true,RuntimeException,RUNTIME,FROMJDK,1,AbstractConfiguredObject.onExceptionInOpen,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
AbstractConfiguredObject.java:3365,warn,false,TimeoutException,NORMAL,FROMJDK,1,AbstractConfiguredObject.doSync,FROMPROJECT,1,false,false,false,false,false,true,false,true,0,0,0,1,2
AbstractConfiguredObject.java:3379,warn,false,TimeoutException,NORMAL,FROMJDK,1,AbstractConfiguredObject.doSync,FROMPROJECT,1,false,false,false,false,false,true,false,true,0,0,0,1,2
AbstractVirtualHostNode.java:202,warn,true,RuntimeException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,true,false,true,false,false,false,3,0,4,5,10
AbstractVirtualHostNode.java:371,warn,true,Exception,NORMAL,FROMJDK,1,AbstractVirtualHostNode.closeConfigurationStore,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
Client.java:149,error,true,Exception,NORMAL,FROMJDK,1,Command.accept,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,1,0,1,1
ParticipantExecutor.java:96,error,true,Exception,NORMAL,FROMJDK,1,Participant.startTest,FROMPROJECT,1,false,false,false,false,false,false,false,false,1,3,1,1,3
ParticipantExecutor.java:107,error,true,Exception,NORMAL,FROMJDK,1,Participant.releaseResources,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
AbstractServlet.java:300,warn,true,IOException,NORMAL,FROMJDK,1,Content.write,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,2,0,1,7
AbstractServlet.java:357,warn,true,Exception,NORMAL,FROMJDK,1,Method.invoke,FROMJDK,1,true,false,false,false,false,false,false,false,0,0,0,0,4
OAuth2AuthenticationProviderImpl.java:327,error,true,JsonProcessingException,NORMAL,FROMLIBRARY,1,ObjectMapper.readValue,FROMLIBRARY,1,false,false,false,false,false,true,false,true,1,0,2,1,13
OAuth2AuthenticationProviderImpl.java:333,error,true,IOException,NORMAL,FROMJDK,1,MultiMethods,MIXED,8,false,false,false,false,false,true,true,true,0,0,0,1,59
OAuth2AuthenticationProviderImpl.java:352,error,true,MultiExceptions,NORMAL,MIXED,2,OAuth2IdentityResolverService.getUserPrincipal,FROMPROJECT,1,false,false,false,false,false,true,false,true,0,0,0,1,2
OAuth2AuthenticationProviderImpl.java:413,error,true,MultiExceptions,NORMAL,FROMJDK,2,MultiMethods,FROMJDK,2,false,false,false,false,false,false,false,false,0,0,0,0,6
ConsumerParticipant.java:264,error,true,Exception,NORMAL,FROMJDK,1,ConsumerParticipant.processMessage,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,2,1
DatabaseTemplate.java:109,error,true,Exception,NORMAL,FROMJDK,1,Database.close,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,0,0,0,1
SimpleLDAPAuthenticationManagerImpl.java:317,warn,true,NamingException,NORMAL,FROMJDK,1,SimpleLDAPAuthenticationManagerImpl.getNameFromId,FROMPROJECT,1,false,false,false,false,false,true,false,false,0,0,0,1,1
SimpleLDAPAuthenticationManagerImpl.java:361,warn,true,NamingException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,3,false,false,false,false,false,true,false,true,0,0,1,1,8
SimpleLDAPAuthenticationManagerImpl.java:536,error,true,GeneralSecurityException,NORMAL,FROMJDK,1,MultiMethods,MIXED,3,false,false,false,false,true,false,false,false,0,1,0,9,3
SimpleLDAPAuthenticationManagerImpl.java:586,error,true,NamingException,NORMAL,FROMJDK,1,SimpleLDAPAuthenticationManagerImpl.createInitialDirContext,FROMPROJECT,1,false,false,false,false,true,false,false,false,0,0,0,1,1
SimpleLDAPAuthenticationManagerImpl.java:701,warn,true,Exception,NORMAL,FROMJDK,1,InitialContext.close,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
ControllerJmsDelegate.java:98,error,true,Exception,NORMAL,FROMJDK,1,Message.getJMSMessageID,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,0,0,0,6
ControllerJmsDelegate.java:120,error,true,JMSException,NORMAL,FROMLIBRARY,1,Session.close,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,0,0,0,1
ControllerJmsDelegate.java:130,error,true,JMSException,NORMAL,FROMLIBRARY,1,Session.close,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,0,0,0,1
ControllerJmsDelegate.java:141,error,true,JMSException,NORMAL,FROMLIBRARY,1,Connection.stop,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,0,0,0,1
DirectExchangeImpl.java:127,warn,true,AMQInvalidArgumentException,NORMAL,FROMPROJECT,1,FilterSupport.createMessageFilter,FROMPROJECT,1,false,false,false,false,false,true,false,true,0,0,0,1,9
ResultsDbWriter.java:426,error,true,SQLException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,37,false,false,false,false,false,false,false,false,0,0,0,0,96
ControllerRunner.java:203,error,true,Exception,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,true,false,false,false,0,0,0,1,7
AbstractAuthenticationManager.java:122,warn,true,RuntimeException,RUNTIME,FROMJDK,1,AbstractConfiguredObject.setState,FROMPROJECT,1,false,false,true,false,true,false,false,false,3,0,3,5,1
EnvironmentUtils.java:201,warn,true,IllegalArgumentException,RUNTIME,FROMJDK,1,MultiMethods,FROMLIBRARY,3,true,false,false,false,false,false,false,false,0,0,0,0,8
CoalescingCommiter.java:220,error,true,RuntimeException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,true,false,false,false,false,0,4,2,11,9
CoalescingCommiter.java:286,debug,false,RuntimeException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,true,false,false,false,false,false,3,0,9,1,3
QueueConsumerImpl.java:430,info,false,SelectorParsingException,RUNTIME,FROMPROJECT,1,FilterManager.allAllow,FROMPROJECT,1,false,false,false,false,false,true,false,true,0,0,0,1,1
BDBUtils.java:152,warn,true,IllegalArgumentException,RUNTIME,FROMJDK,1,ContextProvider.getContextValue,FROMPROJECT,1,false,false,false,false,false,false,false,true,0,0,0,0,1
RestServlet.java:942,warn,false,NumberFormatException,RUNTIME,FROMJDK,1,Integer.parseInt,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
SpawnBrokerAdmin.java:465,error,true,Exception,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,2,false,false,false,false,false,true,false,true,0,0,0,1,6
SpawnBrokerAdmin.java:836,error,true,IOException,NORMAL,FROMJDK,1,MultiMethods,MIXED,2,false,false,false,false,false,false,false,false,0,0,0,0,4
SpawnBrokerAdmin.java:864,error,false,InterruptedException,NORMAL,FROMJDK,1,Process.waitFor,FROMJDK,1,false,false,false,false,false,false,false,false,0,2,0,1,3
FrameHandler.java:233,warn,true,RuntimeException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,true,false,false,true,0,3,4,2,35
SpawnBrokerAdmin.java:954,warn,false,IOException,NORMAL,FROMJDK,1,BufferedReader.readLine,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,14
BDBBackup.java:144,error,true,Exception,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,2,1,1,1,8
AbstractKeyStore.java:178,warn,false,MultiExceptions,RUNTIME,FROMJDK,2,AbstractConfiguredObject.getContextValue,FROMPROJECT,1,false,false,false,false,false,true,false,true,0,0,0,1,1
AbstractKeyStore.java:193,warn,true,MultiExceptions,RUNTIME,FROMJDK,2,AbstractConfiguredObject.getContextValue,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,1,1
BDBBackup.java:143,info,false,Exception,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,3,0,2,8
PreferencesRecoverer.java:117,info,true,IllegalArgumentException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,true,false,false,false,false,false,false,false,0,2,0,1,3
CommonProperties.java:245,warn,true,IOException,NORMAL,FROMJDK,1,Properties.load,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
CommonProperties.java:251,warn,true,MalformedURLException,NORMAL,FROMJDK,1,URI.toURL,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,7
